Wall time,Step,Value
1686565532.523368,1419,0.47895610332489014
1686565577.6924016,2839,0.5407488942146301
1686565622.8774464,4259,0.569402277469635
1686565668.1696854,5679,0.5777950286865234
1686565713.3020954,7099,0.5768471360206604
1686565758.4731257,8519,0.6121001839637756
1686565803.6777782,9939,0.5972506999969482
1686565848.9376779,11359,0.6144649982452393
1686565894.0912752,12779,0.6179676651954651
1686565939.277187,14199,0.607366144657135
